date, pm25, pm10, o3, no2, so2, co
2025/6/2, 33, 31, 34, , 2, 3
2025/6/3, 20, 34, , , , 
2025/6/6, 53, 28, 22, , 2, 8
2025/6/7, 47, 29, 33, , 2, 4
2025/6/8, 23, 26, 32, , 3, 5
2025/6/9, 36, 28, 28, , 3, 7
2025/6/10, 54, 20, 27, , 2, 8
2025/6/11, 63, 26, 42, , 2, 7
2025/6/12, 61, 19, 25, , 2, 8
2025/6/13, 44, 23, 25, , 2, 8
2025/6/14, 59, 19, 28, , 1, 6
2025/6/15, 43, 23, 35, , 2, 5
2025/6/16, 45, 12, 29, , 2, 8
2025/6/17, 47, 23, 28, , 2, 7
2025/6/18, 42, 37, 39, , 1, 5
2025/6/19, 27, 20, 35, , 2, 5
2025/6/20, 25, 51, 31, , 2, 5
2025/6/21, 19, , , , , 
2025/5/2, 56, 23, 42, , 2, 7
2025/5/3, 53, 22, 31, , 2, 7
2025/5/4, 50, 17, 45, , 2, 6
2025/5/5, 47, 17, 21, , 2, 9
2025/5/6, 45, 30, 26, , 3, 11
2025/5/7, 70, 25, 36, , 3, 8
2025/5/8, 59, 30, 18, , 3, 10
2025/5/9, 65, 29, 37, , 2, 10
2025/5/10, 59, 24, 33, , 1, 5
2025/5/11, 24, 15, 30, , 1, 4
2025/5/12, 18, 27, 31, , 2, 7
2025/5/13, 37, 21, 27, , 2, 8
2025/5/14, 47, 24, 42, , 2, 7
2025/5/15, 60, 21, 21, , 2, 9
2025/5/16, 60, 20, 16, , 1, 9
2025/5/17, 41, 14, 21, , 1, 8
2025/5/18, 34, 12, 30, , 1, 6
2025/5/19, 27, 28, 21, , 2, 12
2025/5/20, 60, 31, 35, , 3, 11
2025/5/21, 71, 24, 26, , 2, 5
2025/5/22, 44, 28, 27, , 2, 5
2025/5/23, 40, 23, 31, , 2, 3
2025/5/24, 28, 25, 31, , 2, 4
2025/5/25, 35, 18, 31, , 2, 4
2025/5/26, 40, 18, 25, , 2, 6
2025/5/27, 48, 24, 34, , 2, 6
2025/5/28, 52, 33, 28, , 2, 5
2025/5/29, 40, 30, 29, , 2, 5
2025/5/30, 33, 33, 30, , 2, 6
2025/5/31, 47, 26, 27, , 2, 6
2025/6/1, 47, 25, 31, , 2, 4
2025/4/2, 71, 20, 50, , 2, 8
2025/4/3, 51, 24, 39, , 3, 10
2025/4/4, 62, 28, 30, , 2, 10
2025/4/5, 60, 31, , , , 
2025/4/8, 56, 26, 23, , 2, 10
2025/4/9, 49, 32, 35, , 2, 10
2025/4/10, 60, 17, 23, , 2, 7
2025/4/11, 43, 32, 11, , 2, 13
2025/4/12, 50, 32, 19, , 2, 7
2025/4/13, 49, 12, 41, , 2, 6
2025/4/14, 47, 31, 44, , 3, 6
2025/4/15, 49, 36, 42, , 3, 6
2025/4/16, 51, 36, 50, , 3, 6
2025/4/17, 53, 30, 37, , 2, 5
2025/4/18, 52, 19, 41, , 2, 3
2025/4/19, 29, 29, 62, , 2, 4
2025/4/20, 39, 22, 46, , 1, 4
2025/4/21, 41, 29, 42, , 2, 7
2025/4/22, 52, 27, 44, , 2, 7
2025/4/23, 51, 27, 44, , 3, 7
2025/4/24, 48, 23, 22, , 4, 9
2025/4/25, 59, 19, 37, , 3, 10
2025/4/26, 67, , 32, , 2, 8
2025/4/27, 60, , 42, , 1, 6
2025/4/28, 35, 27, 18, , 3, 10
2025/4/29, 56, 33, 25, , 4, 11
2025/4/30, 73, 21, 32, , 2, 8
2025/5/1, 54, 22, 25, , 2, 8
2025/1/2, 68, 18, 25, , 4, 8
2025/1/3, 43, 18, 26, , 4, 8
2025/1/4, 27, 16, 38, , 4, 7
2025/1/5, 33, 17, 34, , 4, 8
2025/1/6, 31, 23, 48, , 6, 10
2025/1/7, 55, 30, 43, , 8, 11
2025/1/8, 68, 25, 41, , 8, 12
2025/1/9, 58, 24, 29, , 5, 
2025/1/10, 49, 25, 36, , 5, 
2025/1/11, 60, 29, 68, , 7, 
2025/1/12, 67, 27, 71, , 6, 
2025/1/13, 59, 26, 30, , 7, 
2025/1/14, 66, 21, 46, , 4, 
2025/1/15, 33, 20, 24, , 6, 9
2025/1/16, 58, 19, 29, , 6, 5
2025/1/17, 37, 19, 41, , 4, 2
2025/1/18, 28, 22, 74, , 7, 4
2025/1/19, 39, 18, 29, , 12, 2
2025/1/20, 25, 22, 21, , 7, 4
2025/1/21, 54, 31, 63, , 8, 6
2025/1/22, 82, 25, 63, , 7, 4
2025/1/23, 59, 42, 69, , 7, 5
2025/1/24, 66, 39, 50, , 5, 4
2025/1/25, 71, 33, 35, , 5, 2
2025/1/26, 58, 32, 37, , 4, 4
2025/1/27, 34, 35, 39, , 5, 5
2025/1/28, 54, 51, 42, , 7, 2
2025/1/29, 48, 25, 41, , 5, 1
2025/1/30, 46, 43, 31, , 4, 4
2025/1/31, 41, 39, 25, , 5, 6
2025/2/1, 35, , , , , 
2025/2/4, 55, 21, 31, , 6, 5
2025/2/5, 59, 35, 35, , 7, 6
2025/2/6, 67, 30, 26, , 1, 6
2025/2/7, 65, 44, 28, , 3, 7
2025/2/8, 82, 26, 29, , 2, 4
2025/2/9, 56, 33, 31, , 1, 4
2025/2/10, 47, 18, 24, , 1, 6
2025/2/11, 35, 34, 18, , 1, 7
2025/2/12, 40, 28, 15, , 2, 7
2025/2/13, 53, 12, 20, , 1, 6
2025/2/14, 33, , , , , 
2025/2/16, 22, 15, 26, , , 4
2025/2/17, 36, 7, 17, , 1, 9
2025/2/18, 60, 18, 14, , 1, 6
2025/2/19, 47, 21, 44, , 1, 5
2025/2/20, 51, 28, 27, , 2, 8
2025/2/21, 60, 26, 39, , 2, 6
2025/2/22, 70, , , , , 
2025/2/25, 17, 25, 30, , 1, 6
2025/2/26, 44, 15, 17, , 1, 5
2025/2/27, 41, 27, 32, , 1, 9
2025/2/28, 70, 31, 37, , 2, 11
2025/3/1, 83, 17, , , , 
2025/3/7, 28, 21, 35, , 1, 8
2025/3/8, 47, 21, 46, , 1, 5
2025/3/9, 44, 14, 33, , 1, 5
2025/3/10, 34, 18, 33, , 1, 7
2025/3/11, 44, , 15, , 2, 9
2025/3/12, 57, , 35, , 2, 10
2025/3/13, 67, , 16, , 1, 10
2025/3/14, 61, , 27, , 1, 10
2025/3/15, 59, , 46, , 1, 6
2025/3/16, 43, , 52, , 1, 6
2025/3/17, 49, , 24, , 1, 7
2025/3/18, 43, , 31, , 1, 8
2025/3/19, 53, , 38, , 2, 9
2025/3/20, 61, , 34, , 2, 11
2025/3/21, 54, , 35, , 2, 9
2025/3/22, 53, , 30, , 1, 7
2025/3/23, 42, , 46, , 2, 6
2025/3/24, 34, , 42, , 2, 7
2025/3/25, 52, 44, 38, , 3, 8
2025/3/26, 70, 39, 49, , 2, 7
2025/3/27, 56, 20, 25, , 2, 10
2025/3/28, 58, 22, 27, , 4, 11
2025/3/29, 70, 19, 40, , 2, 9
2025/3/30, 53, 17, 27, , 1, 8
2025/3/31, 35, 20, 29, , 2, 9
2025/4/1, 46, 28, 38, , 3, 11
2024/10/2, 84, 35, 45, , 8, 18
2024/10/3, 84, 31, 41, , 7, 20
2024/10/4, 75, 31, 65, , 6, 8
2024/10/5, 67, 29, 88, , 5, 3
2024/10/6, 64, 15, 30, , 6, 1
2024/10/7, 75, 23, 96, , 11, 4
2024/10/8, 73, 20, 22, , 11, 5
2024/10/9, 69, 24, 44, , 8, 5
2024/10/10, 73, 15, 22, , 10, 6
2024/10/11, 64, , 35, , 10, 3
2024/10/12, 60, , 50, , 7, 1
2024/10/13, 41, , 43, , 4, 
2024/10/14, 25, , 43, , 5, 2
2024/10/15, 34, 36, 68, , 5, 3
2024/10/16, 45, 49, 81, , 9, 5
2024/10/17, 76, 45, 94, , 6, 3
2024/10/18, 57, 77, 89, , 8, 4
2024/10/19, 68, 50, 77, , 18, 5
2024/10/20, 89, 39, 69, , 7, 4
2024/10/21, 81, 41, 63, , 7, 5
2024/10/22, 84, 45, 60, , 7, 5
2024/10/23, 76, 38, 39, , 13, 6
2024/10/24, 80, 45, 48, , 8, 6
2024/10/25, 83, 46, 45, , 6, 5
2024/10/26, 63, 38, 55, , 7, 5
2024/10/27, 63, 38, 42, , 5, 5
2024/10/28, 67, 30, 29, , 6, 5
2024/10/29, 60, 43, 44, , 5, 6
2024/10/30, 58, 42, 34, , 5, 9
2024/10/31, 64, 25, 25, , 10, 10
2024/11/1, 80, 27, 55, , 5, 8
2024/11/2, 50, 24, 36, , 7, 7
2024/11/3, 49, 29, 30, , 8, 7
2024/11/4, 44, 26, 28, , 7, 7
2024/11/5, 39, 36, 50, , 7, 8
2024/11/6, 49, 44, 63, , 10, 9
2024/11/7, 68, 48, 48, , 10, 11
2024/11/8, 81, 49, 46, , 17, 8
2024/11/9, 86, 42, 62, , 17, 8
2024/11/10, 98, 42, 69, , 9, 8
2024/11/11, 72, 53, 77, , 10, 7
2024/11/12, 76, 60, , , 21, 8
2024/11/13, 156, 45, 73, , 23, 9
2024/11/14, 119, 49, 21, , 40, 5
2024/11/15, 118, 58, 90, , 20, 17
2024/11/16, 80, 44, 15, , 38, 8
2024/11/17, 139, 27, 55, , 4, 6
2024/11/18, 61, 14, 22, , 8, 10
2024/11/19, 69, 26, 42, , 16, 10
2024/11/20, 108, 41, 38, , 8, 11
2024/11/21, 92, 26, 19, , 9, 11
2024/11/22, 70, 25, 34, , 13, 11
2024/11/23, 92, 41, 62, , 10, 9
2024/11/24, 80, 26, 64, , 8, 7
2024/11/25, 62, 33, 59, , 7, 9
2024/11/26, 65, 29, 60, , 6, 10
2024/11/27, 75, 28, 56, , 8, 10
2024/11/28, 74, 26, 31, , 8, 12
2024/11/29, 83, 32, 27, , 7, 11
2024/11/30, 71, , 38, , 5, 7
2024/12/1, 42, , 55, , 5, 7
2024/12/2, 41, 58, 33, , 5, 11
2024/12/3, 70, 45, 46, , 4, 9
2024/12/4, 67, 32, 41, , 5, 10
2024/12/5, 45, 26, 41, , 5, 8
2024/12/6, 55, 26, 33, , 6, 8
2024/12/7, 65, 24, 32, , 8, 8
2024/12/8, 72, 22, 39, , 5, 6
2024/12/9, 49, 28, 36, , 6, 7
2024/12/10, 60, 18, 38, , 7, 7
2024/12/11, 63, 16, 33, , 4, 7
2024/12/12, 52, 24, 38, , 6, 8
2024/12/13, 61, 15, 19, , 6, 10
2024/12/14, 49, 20, 23, , 6, 10
2024/12/15, 75, 9, 43, , 5, 8
2024/12/16, 49, 19, 29, , 7, 10
2024/12/17, 69, 31, 43, , 4, 7
2024/12/18, 58, 34, 40, , 5, 7
2024/12/19, 49, 29, 38, , 6, 9
2024/12/20, 65, 28, 38, , 5, 8
2024/12/21, 58, 32, 42, , 6, 7
2024/12/22, 56, 25, 50, , 4, 6
2024/12/23, 38, 23, 35, , 5, 9
2024/12/24, 56, 24, 30, , 7, 9
2024/12/25, 65, 31, 50, , 10, 7
2024/12/26, 68, 17, 38, , 7, 7
2024/12/27, 51, 18, 28, , 7, 8
2024/12/28, 47, 16, 33, , 5, 8
2024/12/29, 50, 11, 40, , 4, 7
2024/12/30, 37, , , , , 
2024/7/2, 55, 30, 26, , 3, 6
2024/7/3, 35, 25, 26, , 5, 9
2024/7/4, 57, 26, 26, , 4, 7
2024/7/5, 61, 23, 22, , 3, 10
2024/7/6, 54, 29, 29, , 4, 9
2024/7/7, 40, 19, 29, , 3, 5
2024/7/8, 26, 28, 33, , 3, 6
2024/7/9, 29, 37, 27, , 4, 7
2024/7/10, 39, 36, 30, , 4, 8
2024/7/11, 42, 33, 26, , 5, 8
2024/7/12, 51, 41, 33, , 5, 6
2024/7/13, 43, 24, 40, , 4, 5
2024/7/14, 26, 19, 46, , 2, 4
2024/7/15, 23, 35, 53, , 3, 5
2024/7/16, 27, 42, 75, , 3, 5
2024/7/17, 33, 34, 59, , 3, 5
2024/7/18, 32, 33, 41, , 4, 6
2024/7/19, 30, 42, 31, , 4, 7
2024/7/20, 41, 28, 22, , 3, 6
2024/7/21, 19, 33, 37, , 2, 5
2024/7/22, 20, 35, 29, , 3, 5
2024/7/23, 28, 41, 34, , 3, 4
2024/7/24, 33, 46, 44, , 5, 5
2024/7/25, 46, 39, 51, , 5, 8
2024/7/26, 50, 41, 32, , 7, 8
2024/7/27, 51, 44, 30, , 3, 5
2024/7/28, 33, 30, 40, , 3, 4
2024/7/29, 31, 35, 31, , 3, 5
