date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2025/6/2, 33, 31, 34, , 2, 3,20.60,0
2025/6/3, 20, 34, , , , ,27.00,-1
2025/6/6, 53, 28, 22, , 2, 8,22.60,-2
2025/6/7, 47, 29, 33, , 2, 4,23.00,-3
2025/6/8, 23, 26, 32, , 3, 5,17.80,-4
2025/6/9, 36, 28, 28, , 3, 7,20.40,-5
2025/6/10, 54, 20, 27, , 2, 8,22.20,-6
2025/6/11, 63, 26, 42, , 2, 7,28.00,-7
2025/6/12, 61, 19, 25, , 2, 8,23.00,-8
2025/6/13, 44, 23, 25, , 2, 8,20.40,-9
2025/6/14, 59, 19, 28, , 1, 6,22.60,-10
2025/6/15, 43, 23, 35, , 2, 5,21.60,-11
2025/6/16, 45, 12, 29, , 2, 8,19.20,-12
2025/6/17, 47, 23, 28, , 2, 7,21.40,-13
2025/6/18, 42, 37, 39, , 1, 5,24.80,-14
2025/6/19, 27, 20, 35, , 2, 5,17.80,-15
2025/6/20, 25, 51, 31, , 2, 5,22.80,-16
2025/6/21, 19, , , , , ,19.00,-17
2025/5/2, 56, 23, 42, , 2, 7,26.00,-18
2025/5/3, 53, 22, 31, , 2, 7,23.00,-19
2025/5/4, 50, 17, 45, , 2, 6,24.00,-20
2025/5/5, 47, 17, 21, , 2, 9,19.20,-21
2025/5/6, 45, 30, 26, , 3, 11,23.00,-22
2025/5/7, 70, 25, 36, , 3, 8,28.40,-23
2025/5/8, 59, 30, 18, , 3, 10,24.00,-24
2025/5/9, 65, 29, 37, , 2, 10,28.60,-25
2025/5/10, 59, 24, 33, , 1, 5,24.40,-26
2025/5/11, 24, 15, 30, , 1, 4,14.80,-27
2025/5/12, 18, 27, 31, , 2, 7,17.00,-28
2025/5/13, 37, 21, 27, , 2, 8,19.00,-29
2025/5/14, 47, 24, 42, , 2, 7,24.40,-30
2025/5/15, 60, 21, 21, , 2, 9,22.60,-31
2025/5/16, 60, 20, 16, , 1, 9,21.20,-32
2025/5/17, 41, 14, 21, , 1, 8,17.00,-33
2025/5/18, 34, 12, 30, , 1, 6,16.60,-34
2025/5/19, 27, 28, 21, , 2, 12,18.00,-35
2025/5/20, 60, 31, 35, , 3, 11,28.00,-36
2025/5/21, 71, 24, 26, , 2, 5,25.60,-37
2025/5/22, 44, 28, 27, , 2, 5,21.20,-38
2025/5/23, 40, 23, 31, , 2, 3,19.80,-39
2025/5/24, 28, 25, 31, , 2, 4,18.00,-40
2025/5/25, 35, 18, 31, , 2, 4,18.00,-41
2025/5/26, 40, 18, 25, , 2, 6,18.20,-42
2025/5/27, 48, 24, 34, , 2, 6,22.80,-43
2025/5/28, 52, 33, 28, , 2, 5,24.00,-44
2025/5/29, 40, 30, 29, , 2, 5,21.20,-45
2025/5/30, 33, 33, 30, , 2, 6,20.80,-46
2025/5/31, 47, 26, 27, , 2, 6,21.60,-47
2025/6/1, 47, 25, 31, , 2, 4,21.80,-48
2025/4/2, 71, 20, 50, , 2, 8,30.20,-49
2025/4/3, 51, 24, 39, , 3, 10,25.40,-50
2025/4/4, 62, 28, 30, , 2, 10,26.40,-51
2025/4/5, 60, 31, , , , ,45.50,-52
2025/4/8, 56, 26, 23, , 2, 10,23.40,-53
2025/4/9, 49, 32, 35, , 2, 10,25.60,-54
2025/4/10, 60, 17, 23, , 2, 7,21.80,-55
2025/4/11, 43, 32, 11, , 2, 13,20.20,-56
2025/4/12, 50, 32, 19, , 2, 7,22.00,-57
2025/4/13, 49, 12, 41, , 2, 6,22.00,-58
2025/4/14, 47, 31, 44, , 3, 6,26.20,-59
2025/4/15, 49, 36, 42, , 3, 6,27.20,-60
2025/4/16, 51, 36, 50, , 3, 6,29.20,-61
2025/4/17, 53, 30, 37, , 2, 5,25.40,-62
2025/4/18, 52, 19, 41, , 2, 3,23.40,-63
2025/4/19, 29, 29, 62, , 2, 4,25.20,-64
2025/4/20, 39, 22, 46, , 1, 4,22.40,-65
2025/4/21, 41, 29, 42, , 2, 7,24.20,-66
2025/4/22, 52, 27, 44, , 2, 7,26.40,-67
2025/4/23, 51, 27, 44, , 3, 7,26.40,-68
2025/4/24, 48, 23, 22, , 4, 9,21.20,-69
2025/4/25, 59, 19, 37, , 3, 10,25.60,-70
2025/4/26, 67, , 32, , 2, 8,27.25,-71
2025/4/27, 60, , 42, , 1, 6,27.25,-72
2025/4/28, 35, 27, 18, , 3, 10,18.60,-73
2025/4/29, 56, 33, 25, , 4, 11,25.80,-74
2025/4/30, 73, 21, 32, , 2, 8,27.20,-75
2025/5/1, 54, 22, 25, , 2, 8,22.20,-76
2025/1/2, 68, 18, 25, , 4, 8,24.60,-77
2025/1/3, 43, 18, 26, , 4, 8,19.80,-78
2025/1/4, 27, 16, 38, , 4, 7,18.40,-79
2025/1/5, 33, 17, 34, , 4, 8,19.20,-80
2025/1/6, 31, 23, 48, , 6, 10,23.60,-81
2025/1/7, 55, 30, 43, , 8, 11,29.40,-82
2025/1/8, 68, 25, 41, , 8, 12,30.80,-83
2025/1/9, 58, 24, 29, , 5, ,29.00,-84
2025/1/10, 49, 25, 36, , 5, ,28.75,-85
2025/1/11, 60, 29, 68, , 7, ,41.00,-86
2025/1/12, 67, 27, 71, , 6, ,42.75,-87
2025/1/13, 59, 26, 30, , 7, ,30.50,-88
2025/1/14, 66, 21, 46, , 4, ,34.25,-89
2025/1/15, 33, 20, 24, , 6, 9,18.40,-90
2025/1/16, 58, 19, 29, , 6, 5,23.40,-91
2025/1/17, 37, 19, 41, , 4, 2,20.60,-92
2025/1/18, 28, 22, 74, , 7, 4,27.00,-93
2025/1/19, 39, 18, 29, , 12, 2,20.00,-94
2025/1/20, 25, 22, 21, , 7, 4,15.80,-95
2025/1/21, 54, 31, 63, , 8, 6,32.40,-96
2025/1/22, 82, 25, 63, , 7, 4,36.20,-97
2025/1/23, 59, 42, 69, , 7, 5,36.40,-98
2025/1/24, 66, 39, 50, , 5, 4,32.80,-99
