date, pm25, o3, so2, co
2025/6/2, 36, 23, 2, 6
2025/6/3, 36, 16, 3, 10
2025/6/4, 59, 13, 2, 9
2025/6/5, 69, 19, 3, 9
2025/6/6, 62, 14, 4, 11
2025/6/7, 59, 21, 3, 8
2025/6/8, 31, 19, 2, 9
2025/6/9, 40, 21, 2, 8
2025/6/10, 56, 21, 3, 9
2025/6/11, 56, 31, 4, 8
2025/6/12, 64, 22, 5, 7
2025/6/13, 43, 21, 2, 7
2025/6/14, 50, 16, 3, 7
2025/6/15, 48, 26, 7, 6
2025/6/16, 50, 21, 3, 7
2025/6/17, 46, 23, 7, 8
2025/6/18, 52, 27, 3, 6
2025/6/19, 34, 28, 8, 6
2025/6/20, 39, 25, 3, 8
2025/6/21, 45, , , 
2025/5/2, 55, 27, 2, 13
2025/5/3, 63, 19, 2, 10
2025/5/4, 54, 28, 2, 9
2025/5/5, 42, 12, 3, 12
2025/5/6, 52, 15, 4, 14
2025/5/7, 72, 23, 5, 12
2025/5/8, 66, 13, 4, 15
2025/5/9, 70, 27, 4, 13
2025/5/10, 71, 22, 2, 9
2025/5/11, 33, 19, 2, 6
2025/5/12, 24, 19, 3, 8
2025/5/13, 42, 20, 3, 8
2025/5/14, 58, 25, 2, 8
2025/5/15, 64, 12, 2, 9
2025/5/16, 65, 9, 1, 9
2025/5/17, 43, 12, 1, 10
2025/5/18, 37, 16, 1, 9
2025/5/19, 40, 15, 4, 14
2025/5/20, 74, 21, 6, 16
2025/5/21, 74, 20, 4, 10
2025/5/22, 51, 20, 3, 10
2025/5/23, 48, 21, 2, 7
2025/5/24, 34, 19, 2, 8
2025/5/25, 35, 22, 2, 8
2025/5/26, 46, 17, 2, 9
2025/5/27, 51, 21, 2, 7
2025/5/28, 54, 16, 5, 7
2025/5/29, 50, 21, 4, 7
2025/5/30, 45, 18, 3, 8
2025/5/31, 50, 13, 2, 9
2025/6/1, 49, 20, 2, 7
2025/4/2, 82, 28, 2, 9
2025/4/3, 64, 22, 4, 11
2025/4/4, 68, 19, 3, 12
2025/4/5, 72, 23, 4, 13
2025/4/6, 73, 14, 2, 7
2025/4/7, 38, 16, 5, 11
2025/4/8, 53, 15, 3, 13
2025/4/9, 57, 21, 5, 11
2025/4/10, 65, 12, 2, 10
2025/4/11, 52, 6, 5, 17
2025/4/12, 72, 17, 6, 15
2025/4/13, 70, 24, 3, 10
