date, pm25, o3, so2, co,ICA,nDia
2025/6/2, 36, 23, 2, 6,16.75,0
2025/6/3, 36, 16, 3, 10,16.25,-1
2025/6/4, 59, 13, 2, 9,20.75,-2
2025/6/5, 69, 19, 3, 9,25.00,-3
2025/6/6, 62, 14, 4, 11,22.75,-4
2025/6/7, 59, 21, 3, 8,22.75,-5
2025/6/8, 31, 19, 2, 9,15.25,-6
2025/6/9, 40, 21, 2, 8,17.75,-7
2025/6/10, 56, 21, 3, 9,22.25,-8
2025/6/11, 56, 31, 4, 8,24.75,-9
2025/6/12, 64, 22, 5, 7,24.50,-10
2025/6/13, 43, 21, 2, 7,18.25,-11
2025/6/14, 50, 16, 3, 7,19.00,-12
2025/6/15, 48, 26, 7, 6,21.75,-13
2025/6/16, 50, 21, 3, 7,20.25,-14
2025/6/17, 46, 23, 7, 8,21.00,-15
2025/6/18, 52, 27, 3, 6,22.00,-16
2025/6/19, 34, 28, 8, 6,19.00,-17
2025/6/20, 39, 25, 3, 8,18.75,-18
2025/6/21, 45, , , ,45.00,-19
2025/5/2, 55, 27, 2, 13,24.25,-20
2025/5/3, 63, 19, 2, 10,23.50,-21
2025/5/4, 54, 28, 2, 9,23.25,-22
2025/5/5, 42, 12, 3, 12,17.25,-23
2025/5/6, 52, 15, 4, 14,21.25,-24
2025/5/7, 72, 23, 5, 12,28.00,-25
2025/5/8, 66, 13, 4, 15,24.50,-26
2025/5/9, 70, 27, 4, 13,28.50,-27
2025/5/10, 71, 22, 2, 9,26.00,-28
2025/5/11, 33, 19, 2, 6,15.00,-29
2025/5/12, 24, 19, 3, 8,13.50,-30
2025/5/13, 42, 20, 3, 8,18.25,-31
2025/5/14, 58, 25, 2, 8,23.25,-32
2025/5/15, 64, 12, 2, 9,21.75,-33
2025/5/16, 65, 9, 1, 9,21.00,-34
2025/5/17, 43, 12, 1, 10,16.50,-35
2025/5/18, 37, 16, 1, 9,15.75,-36
2025/5/19, 40, 15, 4, 14,18.25,-37
2025/5/20, 74, 21, 6, 16,29.25,-38
2025/5/21, 74, 20, 4, 10,27.00,-39
2025/5/22, 51, 20, 3, 10,21.00,-40
2025/5/23, 48, 21, 2, 7,19.50,-41
2025/5/24, 34, 19, 2, 8,15.75,-42
2025/5/25, 35, 22, 2, 8,16.75,-43
2025/5/26, 46, 17, 2, 9,18.50,-44
2025/5/27, 51, 21, 2, 7,20.25,-45
2025/5/28, 54, 16, 5, 7,20.50,-46
2025/5/29, 50, 21, 4, 7,20.50,-47
2025/5/30, 45, 18, 3, 8,18.50,-48
2025/5/31, 50, 13, 2, 9,18.50,-49
2025/6/1, 49, 20, 2, 7,19.50,-50
