date, pm25, pm10, o3, no2, so2, co
2025/6/2, 20, 31, 31, , 1, 4
2025/6/3, 35, 34, 21, , 1, 4
2025/6/4, 51, 24, 31, , 1, 3
2025/6/5, 50, 23, 18, , 1, 3
2025/6/6, 42, 28, 17, , 2, 9
2025/6/7, 64, 29, 13, , 1, 7
2025/6/8, 45, 26, 24, , 1, 6
2025/6/9, 46, 28, 28, , 1, 6
2025/6/10, 57, 20, 24, , 1, 7
2025/6/11, 59, 26, 37, , 2, 7
2025/6/12, 73, 19, 28, , 1, 7
2025/6/13, 62, 23, 25, , 1, 7
2025/6/14, 57, 19, 24, , 1, 7
2025/6/15, 42, 23, 25, , 1, 7
2025/6/16, 52, 12, 28, , 2, 7
2025/6/17, 55, 23, 18, , 1, 9
2025/6/18, 52, 37, 33, , 2, 11
2025/6/19, 43, 20, 32, , 1, 7
2025/6/20, 44, 51, 2, , 5, 24
2025/6/21, 130, , , , , 
2025/5/2, 50, 23, 34, , 4, 3
2025/5/3, 46, 22, 28, , 4, 6
2025/5/4, 50, 17, 35, , 4, 4
2025/5/5, 45, 17, 23, , 5, 6
2025/5/6, 38, 30, 29, , 7, 6
2025/5/7, 55, 25, 35, , 2, 5
2025/5/8, 47, 30, 18, , 1, 7
2025/5/9, 65, 29, 35, , 1, 8
2025/5/10, 54, 24, 27, , 1, 6
2025/5/11, 36, 15, 25, , , 4
2025/5/12, 27, 27, 27, , , 5
2025/5/13, 47, 21, 28, , 1, 4
2025/5/14, 45, 24, 35, , , 2
2025/5/15, 41, 21, 21, , , 3
2025/5/16, 41, 20, 18, , , 3
2025/5/17, 40, 14, 21, , , 4
2025/5/18, 37, 12, 27, , , 4
2025/5/19, 35, 28, 19, , 3, 9
2025/5/20, 65, 31, 30, , 1, 5
2025/5/21, 60, 24, 27, , 1, 4
2025/5/22, 48, 28, 29, , 2, 6
2025/5/23, 58, 23, 28, , 2, 5
2025/5/24, 42, 25, 28, , 2, 5
2025/5/25, 43, 18, 23, , 1, 3
2025/5/26, 36, 18, 24, , , 2
2025/5/27, 28, 24, 30, , 1, 3
2025/5/28, 48, 33, 23, , 2, 5
2025/5/29, 55, 30, 24, , 3, 6
2025/5/30, 50, 33, 28, , 2, 6
2025/5/31, 53, 26, 20, , , 4
2025/6/1, 38, 25, 21, , 1, 4
2025/4/2, 62, 20, 42, , 9, 2
2025/4/3, 43, 24, 27, , 2, 2
2025/4/4, 42, 27, 31, , 3, 4
2025/4/5, 62, 31, 34, , 4, 3
2025/4/6, 57, 17, 18, , 3, 
2025/4/7, 31, 24, 29, , 5, 6
2025/4/8, 53, 26, 23, , 5, 6
2025/4/9, 50, 32, 31, , 5, 6
2025/4/10, 65, 17, 24, , 3, 2
2025/4/11, 34, 32, 17, , 4, 7
2025/4/12, 63, 32, 33, , 6, 10
2025/4/13, 65, 12, 33, , 4, 5
2025/4/14, 28, 31, 41, , 6, 8
2025/4/15, 55, 36, 41, , 7, 7
2025/4/16, 66, 36, 42, , 6, 5
2025/4/17, 58, 30, 38, , 5, 5
2025/4/18, 51, 19, 35, , 4, 5
2025/4/19, 32, 29, 48, , 5, 6
2025/4/20, 46, 22, 40, , 3, 4
2025/4/21, 37, 29, 39, , 3, 5
2025/4/22, 43, 27, 39, , 4, 6
2025/4/23, 49, 27, 41, , 4, 5
2025/4/24, 37, 23, 34, , 4, 4
2025/4/25, 44, 19, 42, , 5, 6
2025/4/26, 49, , 33, , 4, 5
2025/4/29, 53, 33, 27, , 6, 6
2025/4/30, 70, 21, 30, , 4, 2
2025/5/1, 42, 22, 28, , 4, 3
2025/1/2, 44, 18, 25, , , 4
