date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2025/6/2, 20, 31, 31, , 1, 4,17.40,0
2025/6/3, 35, 34, 21, , 1, 4,19.00,-1
2025/6/4, 51, 24, 31, , 1, 3,22.00,-2
2025/6/5, 50, 23, 18, , 1, 3,19.00,-3
2025/6/6, 42, 28, 17, , 2, 9,19.60,-4
2025/6/7, 64, 29, 13, , 1, 7,22.80,-5
2025/6/8, 45, 26, 24, , 1, 6,20.40,-6
2025/6/9, 46, 28, 28, , 1, 6,21.80,-7
2025/6/10, 57, 20, 24, , 1, 7,21.80,-8
2025/6/11, 59, 26, 37, , 2, 7,26.20,-9
2025/6/12, 73, 19, 28, , 1, 7,25.60,-10
2025/6/13, 62, 23, 25, , 1, 7,23.60,-11
2025/6/14, 57, 19, 24, , 1, 7,21.60,-12
2025/6/15, 42, 23, 25, , 1, 7,19.60,-13
2025/6/16, 52, 12, 28, , 2, 7,20.20,-14
2025/6/17, 55, 23, 18, , 1, 9,21.20,-15
2025/6/18, 52, 37, 33, , 2, 11,27.00,-16
2025/6/19, 43, 20, 32, , 1, 7,20.60,-17
2025/6/20, 44, 51, 2, , 5, 24,25.20,-18
2025/6/21, 130, , , , , ,130.00,-19
2025/5/2, 50, 23, 34, , 4, 3,22.80,-20
2025/5/3, 46, 22, 28, , 4, 6,21.20,-21
2025/5/4, 50, 17, 35, , 4, 4,22.00,-22
2025/5/5, 45, 17, 23, , 5, 6,19.20,-23
2025/5/6, 38, 30, 29, , 7, 6,22.00,-24
2025/5/7, 55, 25, 35, , 2, 5,24.40,-25
2025/5/8, 47, 30, 18, , 1, 7,20.60,-26
2025/5/9, 65, 29, 35, , 1, 8,27.60,-27
2025/5/10, 54, 24, 27, , 1, 6,22.40,-28
2025/5/11, 36, 15, 25, , , 4,20.00,-29
2025/5/12, 27, 27, 27, , , 5,21.50,-30
2025/5/13, 47, 21, 28, , 1, 4,20.20,-31
2025/5/14, 45, 24, 35, , , 2,26.50,-32
2025/5/15, 41, 21, 21, , , 3,21.50,-33
2025/5/16, 41, 20, 18, , , 3,20.50,-34
2025/5/17, 40, 14, 21, , , 4,19.75,-35
2025/5/18, 37, 12, 27, , , 4,20.00,-36
2025/5/19, 35, 28, 19, , 3, 9,18.80,-37
2025/5/20, 65, 31, 30, , 1, 5,26.40,-38
2025/5/21, 60, 24, 27, , 1, 4,23.20,-39
2025/5/22, 48, 28, 29, , 2, 6,22.60,-40
2025/5/23, 58, 23, 28, , 2, 5,23.20,-41
2025/5/24, 42, 25, 28, , 2, 5,20.40,-42
2025/5/25, 43, 18, 23, , 1, 3,17.60,-43
2025/5/26, 36, 18, 24, , , 2,20.00,-44
2025/5/27, 28, 24, 30, , 1, 3,17.20,-45
2025/5/28, 48, 33, 23, , 2, 5,22.20,-46
2025/5/29, 55, 30, 24, , 3, 6,23.60,-47
2025/5/30, 50, 33, 28, , 2, 6,23.80,-48
2025/5/31, 53, 26, 20, , , 4,25.75,-49
2025/6/1, 38, 25, 21, , 1, 4,17.80,-50
2025/4/2, 62, 20, 42, , 9, 2,27.00,-51
2025/4/3, 43, 24, 27, , 2, 2,19.60,-52
2025/4/4, 42, 27, 31, , 3, 4,21.40,-53
2025/4/5, 62, 31, 34, , 4, 3,26.80,-54
2025/4/6, 57, 17, 18, , 3, ,23.75,-55
2025/4/7, 31, 24, 29, , 5, 6,19.00,-56
2025/4/8, 53, 26, 23, , 5, 6,22.60,-57
2025/4/9, 50, 32, 31, , 5, 6,24.80,-58
2025/4/10, 65, 17, 24, , 3, 2,22.20,-59
2025/4/11, 34, 32, 17, , 4, 7,18.80,-60
