date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2025/6/2, 28, , 31, , 6, 4,17.25,0
2025/6/3, 28, , 25, , 8, 8,17.25,-1
2025/6/4, 49, , 22, , 7, 6,21.00,-2
2025/6/5, 60, , 29, , , 5,31.33,-3
2025/6/6, 56, , 22, , , 7,28.33,-4
2025/6/7, 48, , 30, , , 3,27.00,-5
2025/6/8, 25, , 28, , , 4,19.00,-6
2025/6/9, 37, , 29, , , 4,23.33,-7
2025/6/10, 46, , 28, , , 6,26.67,-8
2025/6/11, 49, , 41, , , 5,31.67,-9
2025/6/12, 51, , 26, , , 5,27.33,-10
2025/6/13, 40, , 27, , , 5,24.00,-11
2025/6/14, 46, , 25, , , 4,25.00,-12
2025/6/15, 41, , 32, , , 4,25.67,-13
2025/6/16, 43, , 29, , , 5,25.67,-14
2025/6/17, 42, , 29, , 4, 6,20.25,-15
2025/6/18, 38, , 34, , 2, 3,19.25,-16
2025/6/19, 24, , 35, , 2, 4,16.25,-17
2025/6/20, 24, , 30, , 3, 5,15.50,-18
2025/6/21, 29, , , , , ,29.00,-19
2025/5/2, 51, , 40, , 1, 8,25.00,-20
2025/5/3, 53, , 28, , 1, 6,22.00,-21
2025/5/4, 48, , 40, , , 6,31.33,-22
2025/5/5, 43, , 18, , 1, 7,17.25,-23
2025/5/6, 42, , 27, , 3, 10,20.50,-24
2025/5/7, 64, , 37, , 2, 8,27.75,-25
2025/5/8, 54, , 19, , 5, 10,22.00,-26
2025/5/9, 55, , 38, , 8, 10,27.75,-27
2025/5/10, 56, , 31, , 5, 6,24.50,-28
2025/5/11, 28, , 29, , 3, 3,15.75,-29
2025/5/12, 21, , 28, , 5, 7,15.25,-30
2025/5/13, 40, , 29, , 4, 6,19.75,-31
2025/5/14, 41, , 35, , 3, 6,21.25,-32
2025/5/15, 52, , 19, , 3, 7,20.25,-33
2025/5/16, 54, , 11, , 3, 8,19.00,-34
2025/5/17, 41, , 21, , 2, 7,17.75,-35
2025/5/18, 31, , 27, , 1, 6,16.25,-36
2025/5/19, 29, , 22, , 4, 11,16.50,-37
2025/5/20, 58, , 32, , 5, 11,26.50,-38
2025/5/21, 61, , 27, , 4, 7,24.75,-39
2025/5/22, 40, , 27, , 4, 6,19.25,-40
2025/5/23, 45, , 29, , 2, 3,19.75,-41
2025/5/24, 30, , 28, , 1, 4,15.75,-42
2025/5/25, 33, , 30, , 1, 4,17.00,-43
2025/5/26, 39, , 23, , 4, 5,17.75,-44
2025/5/27, 42, , 30, , 6, 4,20.50,-45
2025/5/28, 42, , 24, , 7, 5,19.50,-46
2025/5/29, 35, , 29, , 7, 5,19.00,-47
2025/5/30, 29, , 26, , 6, 5,16.50,-48
2025/5/31, 42, , 23, , 5, 5,18.75,-49
