date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2024/10/2, 14, , 39, , , 16,23.00,0
2024/10/3, 13, , 37, , , 12,20.67,-1
2024/10/4, 38, , 36, , , 6,26.67,-2
2024/10/5, 35, , 52, , , 4,30.33,-3
2024/10/6, 11, , 76, , , 3,30.00,-4
2024/10/7, 40, , 61, , 9, 5,28.75,-5
2024/10/8, 46, , 29, , 16, 5,24.00,-6
2024/10/9, 47, , 63, , 21, 3,33.50,-7
2024/10/10, 55, , 33, , 22, 6,29.00,-8
2024/10/11, 124, , 3, , 7, 8,35.50,-9
2024/10/12, 230, , 48, , 16, 5,74.75,-10
2024/10/13, 17, , 9, , 13, 6,11.25,-11
2024/10/14, 18, , 49, , 6, 6,19.75,-12
2024/10/15, 22, , 68, , 24, 6,30.00,-13
2024/10/16, 14, , 77, , 12, 8,27.75,-14
2024/10/17, 22, , 83, , 11, 8,31.00,-15
2024/10/18, 9, , 63, , 13, 8,23.25,-16
2024/10/19, 10, , 57, , 22, 7,24.00,-17
2024/10/20, 15, , 57, , 21, 6,24.75,-18
2024/10/21, 9, , 75, , 13, 7,26.00,-19
2024/10/22, 52, , 72, , 18, 7,37.25,-20
2024/10/23, 40, , 34, , 18, 7,24.75,-21
2024/10/25, 45, , 67, , 11, 9,33.00,-22
2024/10/26, 13, , 43, , 34, 9,24.75,-23
2024/10/27, 3, , 48, , 29, 8,22.00,-24
2024/10/28, 2, , 23, , 23, 10,14.50,-25
2024/10/29, 6, , 58, , 19, 11,23.50,-26
2024/10/30, 7, , 34, , 31, 12,21.00,-27
2024/10/31, 65, , 34, , 27, 11,34.25,-28
2024/11/1, 15, , 60, , 14, 11,25.00,-29
2024/11/2, 30, , 35, , 18, 9,23.00,-30
2024/11/3, 43, , 30, , 14, 10,24.25,-31
2024/11/4, 14, , 30, , 17, 10,17.75,-32
2024/11/5, 21, , 41, , 16, 11,22.25,-33
2024/11/6, 34, , 49, , 20, 12,28.75,-34
2024/11/7, 36, , 40, , 17, 12,26.25,-35
2024/11/8, 57, , 34, , 21, 12,31.00,-36
2024/11/9, 54, , 44, , 12, 12,30.50,-37
2024/11/10, 44, , 73, , 15, 13,36.25,-38
2024/11/11, 25, , 33, , 22, 14,23.50,-39
2024/11/12, 61, , 43, , 17, 15,34.00,-40
2024/11/13, 97, , 37, , 17, 14,41.25,-41
2024/7/2, 41, , 23, , 10, 2,19.00,-42
2024/7/3, 40, , 20, , 14, 4,19.50,-43
2024/7/4, 45, , 33, , 5, 2,21.25,-44
2024/7/5, 43, , 28, , 3, 4,19.50,-45
2024/7/6, 36, , 24, , 11, 4,18.75,-46
2024/7/7, 41, , 29, , 5, 4,19.75,-47
2024/7/8, 35, , 35, , 4, 4,19.50,-48
2024/7/9, 29, , 24, , 15, 4,18.00,-49
2024/7/10, 48, , 28, , 8, 4,22.00,-50
2024/7/11, 45, , 33, , 13, 3,23.50,-51
2024/7/12, 50, , 32, , 13, 4,24.75,-52
2024/7/13, 49, , 29, , 10, 5,23.25,-53
2024/7/14, 42, , 28, , 2, 2,18.50,-54
2024/7/15, 18, , 35, , 3, 3,14.75,-55
2024/7/16, 26, , 50, , 3, 3,20.50,-56
2024/7/17, 29, , 35, , 4, 3,17.75,-57
2024/7/18, 28, , 25, , 4, 4,15.25,-58
2024/7/19, 46, , 28, , 2, 3,19.75,-59
2024/7/20, 44, , 15, , 7, 4,17.50,-60
2024/7/21, 40, , 31, , 1, 2,18.50,-61
2024/7/22, 29, , 32, , 2, 2,16.25,-62
2024/7/23, 29, , 31, , 4, 2,16.50,-63
2024/7/24, 29, , 41, , 11, 3,21.00,-64
2024/7/25, 47, , 28, , 26, 2,25.75,-65
2024/7/26, 55, , 30, , 17, 3,26.25,-66
2024/7/27, 54, , 30, , 17, 2,25.75,-67
2024/7/28, 45, , 40, , 2, 1,22.00,-68
2024/7/29, 30, , 33, , 2, 1,16.50,-69
2024/7/30, 29, , 36, , 4, 2,17.75,-70
2024/7/31, 30, , 44, , 2, 1,19.25,-71
2024/8/1, 27, , 40, , 13, 3,20.75,-72
2024/8/2, 46, , 32, , 22, 3,25.75,-73
2024/8/3, 63, , 43, , 14, 2,30.50,-74
2024/8/4, 61, , 33, , 18, 1,28.25,-75
2024/8/5, 53, , 33, , 21, 1,27.00,-76
2024/8/6, 54, , 32, , 11, 1,24.50,-77
2024/8/7, 49, , 31, , 25, 1,26.50,-78
2024/8/8, 54, , 34, , 16, 2,26.50,-79
2024/8/9, 53, , 18, , 17, 4,23.00,-80
2024/8/10, 67, , 30, , 16, 3,29.00,-81
2024/8/11, 55, , 36, , 11, 1,25.75,-82
2024/8/12, 49, , 36, , 11, 2,24.50,-83
2024/8/13, 54, , 49, , 4, 2,27.25,-84
2024/8/14, 36, , 32, , 18, 5,22.75,-85
2024/8/15, 59, , 42, , 5, 5,27.75,-86
2024/8/16, 42, , 45, , 4, 6,24.25,-87
2024/8/17, 43, , 44, , 4, 4,23.75,-88
2024/8/18, 39, , 63, , 2, 3,26.75,-89
2024/8/19, 33, , 14, , 6, 7,15.00,-90
2024/8/20, 70, , 39, , 8, 5,30.50,-91
2024/8/21, 53, , 48, , 8, 4,28.25,-92
2024/8/22, 43, , 37, , 12, 5,24.25,-93
2024/8/23, 58, , 27, , 6, 4,23.75,-94
2024/8/24, 59, , 34, , 13, 3,27.25,-95
2024/8/25, 47, , 49, , 10, 3,27.25,-96
2024/8/26, 46, , 54, , 6, 4,27.50,-97
2024/8/27, 49, , 46, , 6, 4,26.25,-98
2024/8/28, 46, , 59, , 3, 3,27.75,-99
2024/8/29, 45, , 59, , 2, 2,27.00,-100
2024/8/30, 47, , 58, , 4, 4,28.25,-101
2024/8/31, 46, , 80, , 2, 3,32.75,-102
2024/9/1, 53, , 73, , 5, 4,33.75,-103
2024/9/2, 73, , 66, , 9, 4,38.00,-104
2024/9/3, 71, , 47, , 17, 4,34.75,-105
2024/9/4, 66, , 41, , 9, 5,30.25,-106
2024/9/5, 69, , 50, , 11, 6,34.00,-107
2024/9/6, 70, , 51, , 16, 4,35.25,-108
2024/9/7, 62, , 56, , 12, 4,33.50,-109
2024/9/8, 89, , 53, , 2, 3,36.75,-110
2024/9/9, 57, , 56, , 15, 3,32.75,-111
2024/9/10, 52, , 68, , 3, 1,31.00,-112
2024/9/11, 45, , 62, , 18, 3,32.00,-113
2024/9/12, 66, , 59, , 5, 2,33.00,-114
2024/9/13, 59, , 56, , 20, 2,34.25,-115
2024/9/14, 72, , 56, , 10, 2,35.00,-116
2024/9/15, 58, , 48, , 6, 1,28.25,-117
2024/9/16, 46, , 35, , 21, 3,26.25,-118
2024/9/17, 58, , 55, , 12, 4,32.25,-119
2024/9/18, 53, , 60, , 2, 4,29.75,-120
2024/9/19, 42, , 53, , 11, 6,28.00,-121
2024/9/20, 61, , 64, , 9, 5,34.75,-122
2024/9/21, 72, , 44, , 16, 5,34.25,-123
2024/9/22, 68, , 40, , 16, 4,32.00,-124
2024/9/23, 63, , 41, , 14, 7,31.25,-125
2024/9/24, 53, , 51, , 11, 12,31.75,-126
2024/9/25, 58, , 48, , 10, 10,31.50,-127
2024/9/26, 68, , 48, , 12, 12,35.00,-128
2024/9/27, 78, , 57, , 12, 12,39.75,-129
2024/9/28, 72, , 24, , 8, 14,29.50,-130
2024/9/30, 16, , 34, , 18, 16,21.00,-131
2024/10/1, 62, , 35, , , 17,38.00,-132
2024/4/2, 44, , 13, , 20, 2,19.75,-133
2024/4/3, 55, , 23, , 16, 2,24.00,-134
2024/4/4, 51, , 23, , 10, 2,21.50,-135
2024/4/5, 51, , 20, , 19, 1,22.75,-136
2024/4/6, 52, , 20, , 22, 2,24.00,-137
2024/4/7, 62, , 28, , 12, 1,25.75,-138
2024/4/8, 41, , 23, , 22, 1,21.75,-139
2024/4/9, 56, , 32, , 22, 1,27.75,-140
2024/4/10, 58, , 24, , 20, 2,26.00,-141
2024/4/11, 75, , 32, , 15, 2,31.00,-142
2024/4/12, 66, , 32, , 18, 2,29.50,-143
2024/4/13, 69, , 46, , 14, 2,32.75,-144
2024/4/14, 69, , 32, , 14, 2,29.25,-145
2024/4/15, 63, , 23, , 4, 3,23.25,-146
2024/4/24, 46, , 20, , 19, 8,23.25,-147
2024/4/25, 46, , 25, , 15, 9,23.75,-148
2024/4/26, 62, , 23, , 22, 9,29.00,-149
2024/4/27, 38, , 20, , 19, 8,21.25,-150
2024/4/28, 41, , 24, , 19, 8,23.00,-151
2024/4/29, 88, , 16, , 19, 8,32.75,-152
2024/4/30, 206, , 17, , 18, 9,62.50,-153
2024/5/1, 20, , 25, , 13, 9,16.75,-154
2024/5/2, 46, , 26, , 13, 8,23.25,-155
2024/5/3, 52, , 18, , 13, 7,22.50,-156
2024/5/4, 38, , 19, , 13, 6,19.00,-157
2024/5/5, 37, , 7, , 14, 11,17.25,-158
2024/5/6, 47, , 16, , 16, 11,22.50,-159
2024/5/7, 57, , 18, , 18, 8,25.25,-160
2024/5/8, 47, , 11, , 11, 8,19.25,-161
2024/5/9, 45, , 17, , 13, 7,20.50,-162
2024/5/10, 65, , 29, , 11, 3,27.00,-163
2024/5/11, 47, , 16, , 16, 6,21.25,-164
2024/5/12, 66, , 26, , 11, 4,26.75,-165
2024/5/13, 54, , 13, , 26, 4,24.25,-166
2024/5/14, 72, , 10, , 27, 3,28.00,-167
2024/5/15, 64, , 15, , 16, 3,24.50,-168
2024/5/16, 52, , 17, , 13, 2,21.00,-169
2024/5/17, 41, , 19, , 17, 3,20.00,-170
2024/5/18, 51, , 16, , 14, 2,20.75,-171
2024/5/19, 44, , 18, , 13, 1,19.00,-172
2024/5/20, 34, , 14, , 21, 2,17.75,-173
2024/5/21, 50, , 22, , 5, 2,19.75,-174
2024/5/22, 37, , 16, , 12, 3,17.00,-175
2024/5/23, 50, , 23, , 4, 1,19.50,-176
2024/5/24, 28, , 18, , 17, 1,16.00,-177
2024/5/25, 44, , 18, , 16, 2,20.00,-178
2024/5/26, 46, , 24, , 19, 3,23.00,-179
2024/5/27, 52, , 18, , 19, 3,23.00,-180
2024/5/28, 53, , 12, , 7, 4,19.00,-181
2024/5/29, 40, , 20, , 5, 4,17.25,-182
2024/5/30, 48, , 31, , 3, 3,21.25,-183
2024/5/31, 40, , 15, , 5, 6,16.50,-184
2024/6/1, 44, , 31, , 4, 4,20.75,-185
2024/6/4, 33, , 26, , 5, 2,16.50,-186
2024/6/5, 38, , 29, , 1, 1,17.25,-187
2024/6/6, 28, , 26, , 1, 1,14.00,-188
2024/6/7, 27, , 21, , 3, 3,13.50,-189
2024/6/8, 51, , 28, , 4, 2,21.25,-190
2024/6/9, 43, , 34, , 4, 2,20.75,-191
2024/6/10, 41, , 32, , 1, 1,18.75,-192
2024/6/11, 32, , 24, , 2, 2,15.00,-193
2024/6/12, 41, , 30, , 4, 2,19.25,-194
2024/6/13, 48, , 21, , 2, 1,18.00,-195
2024/6/14, 40, , 29, , 2, 1,18.00,-196
2024/6/15, 31, , 20, , 7, 1,14.75,-197
2024/6/16, 28, , 18, , 12, 2,15.00,-198
2024/6/17, 35, , 32, , 8, 2,19.25,-199
2024/6/18, 34, , 38, , 10, 3,21.25,-200
2024/6/19, 47, , 38, , 5, 2,23.00,-201
2024/6/20, 55, , 19, , 13, 4,22.75,-202
2024/6/21, 64, , 16, , 15, 2,24.25,-203
2024/6/22, 44, , 31, , 15, 1,22.75,-204
2024/6/23, 50, , 47, , 6, 1,26.00,-205
2024/6/24, 41, , 30, , 3, 1,18.75,-206
2024/6/25, 38, , 34, , 3, 1,19.00,-207
2024/6/26, 38, , 33, , 5, 2,19.50,-208
