date, pm25, pm10, o3, no2, so2, co
2025/6/2, 35, 31, 30, , 3, 6
2025/6/3, 38, 34, 24, , 3, 6
2025/6/4, 47, 24, 22, , 4, 5
2025/6/5, 47, 23, 26, , 3, 3
2025/6/6, 48, 28, 19, , 4, 5
2025/6/7, 42, 29, 29, , 3, 4
2025/6/8, 34, 26, 26, , 3, 2
2025/6/9, 38, 28, 28, , 3, 3
2025/6/10, 43, 20, 24, , 3, 4
2025/6/11, 51, 26, 37, , 3, 4
2025/6/12, 52, 19, 25, , 3, 3
2025/6/13, 38, 23, 22, , 3, 3
2025/6/14, 45, 19, 26, , 3, 2
2025/6/15, 37, 23, 27, , 4, 2
2025/6/16, 38, 12, 31, , 4, 3
2025/6/17, 35, 23, 16, , 4, 6
2025/6/18, 45, 37, 36, , 4, 5
2025/6/19, 37, 20, 30, , 3, 1
2025/6/20, 29, 51, 25, , 4, 4
2025/6/21, 27, , , , , 
2025/5/2, 45, 23, 34, , 2, 4
2025/5/3, 45, 22, 29, , 3, 7
2025/5/4, 39, 17, 37, , 2, 4
2025/5/5, 35, 17, 23, , 3, 8
2025/5/6, 38, 30, 27, , 3, 9
2025/5/7, 62, 25, 31, , 3, 6
2025/5/8, 44, 30, 17, , 3, 9
2025/5/9, 58, 29, 35, , 3, 10
2025/5/10, 58, 24, 27, , 3, 7
2025/5/11, 32, 15, 26, , 3, 5
2025/5/12, 25, 27, 27, , 3, 7
2025/5/13, 37, 21, 26, , 3, 5
2025/5/14, 41, 24, 35, , 3, 2
2025/5/15, 42, 21, 20, , 3, 2
2025/5/16, 39, 20, 20, , 2, 2
2025/5/17, 31, 14, 16, , 2, 4
2025/5/18, 35, 12, 22, , 2, 3
2025/5/19, 26, 28, 20, , 4, 9
2025/5/20, 60, 31, 30, , 3, 5
2025/5/21, 61, 24, 25, , 3, 5
2025/5/22, 45, 28, 27, , 3, 5
2025/5/23, 48, 23, 31, , 3, 3
2025/5/24, 28, 25, 27, , 3, 4
2025/5/25, 37, 18, 27, , 3, 3
2025/5/26, 37, 18, 24, , 3, 2
2025/5/27, 33, 24, 30, , 3, 4
2025/5/28, 46, 33, 22, , 4, 6
2025/5/29, 51, 30, 23, , 4, 7
2025/5/30, 43, 33, 27, , 3, 6
2025/5/31, 47, 26, 24, , 2, 4
2025/6/1, 32, 25, 26, , 3, 4
2025/4/2, 54, 20, 36, , 2, 4
2025/4/3, 41, 24, 36, , 2, 5
2025/4/4, 45, 27, 28, , 3, 7
2025/4/5, 53, 31, 31, , 3, 7
2025/4/6, 56, 21, 14, , 2, 3
2025/4/7, 25, 24, 21, , 3, 7
2025/4/8, 45, 26, 20, , 3, 7
2025/4/9, 47, 32, 25, , 3, 5
2025/4/10, 51, 17, 22, , 2, 2
2025/4/11, 34, 32, 13, , 3, 6
2025/4/12, 44, 32, 27, , 3, 6
2025/4/13, 49, 12, 34, , 3, 6
2025/4/14, 51, 31, 42, , 4, 5
2025/4/15, 53, 36, 40, , 5, 6
2025/4/16, 55, 36, 43, , 4, 5
2025/4/17, 47, 30, 38, , 4, 5
2025/4/18, 49, 19, 35, , 2, 3
2025/4/19, 26, 29, 50, , 3, 3
2025/4/20, 40, 22, 40, , 2, 2
2025/4/21, 29, 29, 37, , 2, 4
2025/4/22, 41, 27, 40, , 2, 4
2025/4/23, 42, 27, 39, , 2, 4
2025/4/24, 36, 23, 28, , 3, 5
2025/4/25, 46, 19, 34, , 3, 7
2025/4/26, 59, , 32, , 3, 6
2025/4/27, 48, , 34, , 2, 4
2025/4/28, 27, 27, 13, , 3, 6
2025/4/29, 44, 33, 24, , 4, 9
2025/4/30, 61, 21, 29, , 2, 5
2025/5/1, 35, 22, 21, , 2, 6
2025/1/2, 46, 18, 24, , 4, 1
2025/1/3, 29, 18, 20, , 4, 2
2025/1/4, 26, 16, 24, , 4, 1
2025/1/5, 27, 17, 26, , 4, 2
2025/1/6, 26, 23, 39, , 6, 5
2025/1/7, 49, 30, 37, , 6, 4
2025/1/8, 45, 25, 34, , 5, 4
2025/1/9, 41, 24, 28, , 6, 4
2025/1/10, 44, 25, 31, , 5, 3
2025/1/11, 42, 29, 44, , 6, 3
2025/1/12, 63, 27, 49, , 7, 3
2025/1/13, 57, 26, 36, , 5, 4
2025/1/14, 52, 21, 35, , 5, 2
2025/1/15, 38, 20, 37, , 5, 2
2025/1/16, 38, 19, 26, , 4, 1
2025/1/17, 29, 19, 28, , 5, 3
2025/1/18, 35, 22, 40, , 5, 3
2025/1/19, 42, 18, 48, , 5, 1
2025/1/20, 28, 22, 36, , 5, 3
2025/1/21, 45, 31, 51, , 8, 4
2025/1/22, 66, 25, 46, , 5, 2
2025/1/23, 47, 42, 60, , 7, 6
2025/1/24, 63, 39, 42, , 12, 5
2025/1/25, 65, 33, 32, , 6, 5
2025/1/26, 58, 32, 33, , 6, 3
2025/1/27, 41, 35, 31, , 5, 4
2025/1/28, 43, 51, 28, , 7, 4
2025/1/29, 54, 25, 4, , 5, 2
2025/1/30, 32, 43, 21, , 4, 2
2025/2/4, 28, 21, 27, , 4, 2
2025/2/5, 40, 35, 25, , 5, 2
2025/2/6, 43, 30, 26, , 5, 3
2025/2/7, 46, 44, 28, , 4, 3
2025/2/8, 47, 26, 33, , 4, 2
2025/2/9, 44, 33, 27, , 4, 1
2025/2/10, 30, 18, 19, , 4, 2
2025/2/11, 21, 34, 14, , 5, 4
2025/2/12, 34, 28, 29, , 6, 3
2025/2/13, 49, 12, 24, , 4, 2
2025/2/14, 31, , , , , 
2025/2/16, 30, 15, 22, , , 2
2025/2/17, 30, 7, 15, , , 4
2025/2/18, 37, 18, 12, , 1, 4
2025/2/19, 34, 21, 28, , 1, 4
2025/2/20, 41, 28, 22, , 2, 5
2025/2/21, 36, 26, 33, , 2, 6
2025/2/22, 63, , , , , 
2025/2/25, 47, 25, 24, , 2, 4
2025/2/26, 69, 15, 15, , 2, 4
2025/2/27, 26, 27, 27, , 2, 6
2025/2/28, 45, 31, 29, , 2, 7
2025/3/1, 53, 17, 30, , 1, 1
2025/3/2, 36, 14, 32, , 1, 2
2025/3/3, 24, 18, 35, , 1, 3
2025/3/4, 36, 19, 32, , 1, 1
2025/3/5, 41, 18, 23, , 2, 2
2025/3/6, 35, 16, 20, , 2, 4
2025/3/7, 40, 21, 29, , 2, 5
2025/3/8, 48, 21, 34, , 1, 3
2025/3/9, 44, 14, 27, , 1, 3
2025/3/10, 32, 18, 29, , 2, 4
2025/3/11, 43, , 19, , 2, 5
2025/3/12, 51, , 37, , 2, 5
2025/3/13, 59, , 20, , 2, 4
2025/3/14, 50, , 23, , 2, 4
2025/3/15, 51, , 35, , 2, 3
2025/3/16, 46, , 41, , 2, 1
2025/3/17, 49, , 28, , 2, 5
2025/3/18, 36, , 27, , 2, 4
2025/3/19, 54, , 41, , 2, 6
2025/3/20, 57, , 14, , 1, 8
2025/3/21, 52, , 29, , 2, 6
2025/3/22, 59, , 25, , 2, 3
2025/3/23, 44, , 39, , 2, 2
2025/3/24, 33, , 36, , 2, 4
2025/3/25, 51, 44, 36, , 3, 4
2025/3/26, 58, 39, 28, , 2, 3
2025/3/27, 44, 20, 22, , 2, 4
2025/3/28, 43, 22, 25, , 2, 5
2025/3/29, 48, 19, 34, , 2, 5
2025/3/30, 47, 17, 26, , 1, 4
2025/3/31, 26, 20, 17, , 2, 4
2025/4/1, 30, 28, 34, , 3, 6
2024/10/2, 60, 35, 47, , 4, 4
2024/10/3, 63, 31, 56, , 5, 4
2024/10/4, 59, 31, 52, , 6, 3
2024/10/5, 66, 29, 61, , 4, 2
2024/10/6, 51, 6, 23, , 2, 1
2024/10/7, 19, 23, 61, , 4, 2
2024/10/8, 51, 20, 44, , 3, 3
2024/10/9, 45, 24, 54, , 6, 3
2024/10/10, 56, 15, 32, , 4, 4
2024/10/11, 48, , 39, , 5, 3
2024/10/12, 49, , 54, , 5, 1
2024/10/13, 39, , 47, , 3, 1
2024/10/14, 29, , 51, , 3, 2
2024/10/15, 32, 36, 79, , 3, 4
2024/10/16, 43, 49, 69, , 5, 4
2024/10/17, 68, 45, 84, , 6, 3
2024/10/18, 65, 77, 73, , 6, 4
2024/10/19, 70, 50, 56, , 6, 5
2024/10/20, 73, 39, 59, , 3, 3
2024/10/21, 64, 41, 62, , 3, 4
2024/10/22, 69, 45, 62, , 4, 4
2024/10/23, 70, 38, 27, , 3, 3
2024/10/24, 58, 45, 47, , 6, 5
2024/10/25, 74, 46, 53, , 4, 4
2024/10/26, 64, 38, 58, , 5, 3
2024/10/27, 56, 38, 42, , 4, 4
2024/10/28, 65, 30, 32, , 4, 5
2024/10/29, 54, 43, 40, , 8, 7
2024/10/30, 64, 42, 37, , 4, 7
2024/10/31, 62, 25, 40, , 4, 6
2024/11/1, 57, 27, 38, , 3, 4
2024/11/2, 45, 24, 38, , 3, 3
2024/11/3, 41, 29, 27, , 5, 4
2024/11/4, 43, 26, 31, , 4, 5
2024/11/5, 45, 36, 47, , 4, 6
2024/11/6, 44, 44, 59, , 4, 6
2024/11/7, 61, 48, 48, , 5, 8
2024/11/8, 80, 49, 47, , 6, 6
2024/11/9, 76, 42, 53, , 5, 6
2024/11/10, 70, 42, 18, , 5, 8
2024/11/11, 64, 53, 21, , 4, 8
2024/11/12, 89, 60, 55, , 6, 5
2024/11/13, 108, 45, 42, , 6, 4
2024/11/14, 97, 49, 43, , 6, 5
2024/11/15, 96, 58, 49, , 5, 6
2024/11/16, 96, 44, 39, , 5, 3
2024/11/17, 78, 27, 34, , 3, 2
2024/11/18, 39, 14, 30, , 3, 3
2024/11/19, 62, 26, 35, , 4, 3
2024/11/20, 68, 41, 38, , 5, 4
2024/11/21, 61, 26, 24, , 3, 3
2024/11/22, 46, 25, 35, , 6, 4
2024/11/23, 64, 41, 42, , 5, 4
2024/11/24, 70, 26, 41, , 4, 4
2024/11/25, 59, 33, 40, , 4, 5
2024/11/26, 61, 29, 43, , 5, 5
2024/11/27, 62, 28, 37, , 5, 4
2024/11/28, 58, 26, 36, , 5, 4
2024/11/29, 63, 32, 31, , 6, 6
2024/11/30, 66, , 45, , 5, 4
2024/12/1, 42, , 59, , 5, 5
