date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2025/6/2, 35, 31, 30, , 3, 6,21.00,0
2025/6/3, 38, 34, 24, , 3, 6,21.00,-1
2025/6/4, 47, 24, 22, , 4, 5,20.40,-2
2025/6/5, 47, 23, 26, , 3, 3,20.40,-3
2025/6/6, 48, 28, 19, , 4, 5,20.80,-4
2025/6/7, 42, 29, 29, , 3, 4,21.40,-5
2025/6/8, 34, 26, 26, , 3, 2,18.20,-6
2025/6/9, 38, 28, 28, , 3, 3,20.00,-7
2025/6/10, 43, 20, 24, , 3, 4,18.80,-8
2025/6/11, 51, 26, 37, , 3, 4,24.20,-9
2025/6/12, 52, 19, 25, , 3, 3,20.40,-10
2025/6/13, 38, 23, 22, , 3, 3,17.80,-11
2025/6/14, 45, 19, 26, , 3, 2,19.00,-12
2025/6/15, 37, 23, 27, , 4, 2,18.60,-13
2025/6/16, 38, 12, 31, , 4, 3,17.60,-14
2025/6/17, 35, 23, 16, , 4, 6,16.80,-15
2025/6/18, 45, 37, 36, , 4, 5,25.40,-16
2025/6/19, 37, 20, 30, , 3, 1,18.20,-17
2025/6/20, 29, 51, 25, , 4, 4,22.60,-18
2025/6/21, 27, , , , , ,27.00,-19
2025/5/2, 45, 23, 34, , 2, 4,21.60,-20
2025/5/3, 45, 22, 29, , 3, 7,21.20,-21
2025/5/4, 39, 17, 37, , 2, 4,19.80,-22
2025/5/5, 35, 17, 23, , 3, 8,17.20,-23
2025/5/6, 38, 30, 27, , 3, 9,21.40,-24
2025/5/7, 62, 25, 31, , 3, 6,25.40,-25
2025/5/8, 44, 30, 17, , 3, 9,20.60,-26
2025/5/9, 58, 29, 35, , 3, 10,27.00,-27
2025/5/10, 58, 24, 27, , 3, 7,23.80,-28
2025/5/11, 32, 15, 26, , 3, 5,16.20,-29
2025/5/12, 25, 27, 27, , 3, 7,17.80,-30
2025/5/13, 37, 21, 26, , 3, 5,18.40,-31
2025/5/14, 41, 24, 35, , 3, 2,21.00,-32
2025/5/15, 42, 21, 20, , 3, 2,17.60,-33
2025/5/16, 39, 20, 20, , 2, 2,16.60,-34
2025/5/17, 31, 14, 16, , 2, 4,13.40,-35
2025/5/18, 35, 12, 22, , 2, 3,14.80,-36
2025/5/19, 26, 28, 20, , 4, 9,17.40,-37
2025/5/20, 60, 31, 30, , 3, 5,25.80,-38
2025/5/21, 61, 24, 25, , 3, 5,23.60,-39
2025/5/22, 45, 28, 27, , 3, 5,21.60,-40
2025/5/23, 48, 23, 31, , 3, 3,21.60,-41
2025/5/24, 28, 25, 27, , 3, 4,17.40,-42
2025/5/25, 37, 18, 27, , 3, 3,17.60,-43
2025/5/26, 37, 18, 24, , 3, 2,16.80,-44
2025/5/27, 33, 24, 30, , 3, 4,18.80,-45
2025/5/28, 46, 33, 22, , 4, 6,22.20,-46
2025/5/29, 51, 30, 23, , 4, 7,23.00,-47
2025/5/30, 43, 33, 27, , 3, 6,22.40,-48
2025/5/31, 47, 26, 24, , 2, 4,20.60,-49
2025/6/1, 32, 25, 26, , 3, 4,18.00,-50
2025/4/2, 54, 20, 36, , 2, 4,23.20,-51
2025/4/3, 41, 24, 36, , 2, 5,21.60,-52
2025/4/4, 45, 27, 28, , 3, 7,22.00,-53
2025/4/5, 53, 31, 31, , 3, 7,25.00,-54
2025/4/6, 56, 21, 14, , 2, 3,19.20,-55
2025/4/7, 25, 24, 21, , 3, 7,16.00,-56
2025/4/8, 45, 26, 20, , 3, 7,20.20,-57
2025/4/9, 47, 32, 25, , 3, 5,22.40,-58
2025/4/10, 51, 17, 22, , 2, 2,18.80,-59
2025/4/11, 34, 32, 13, , 3, 6,17.60,-60
2025/4/12, 44, 32, 27, , 3, 6,22.40,-61
2025/4/13, 49, 12, 34, , 3, 6,20.80,-62
2025/4/14, 51, 31, 42, , 4, 5,26.60,-63
2025/4/15, 53, 36, 40, , 5, 6,28.00,-64
2025/4/16, 55, 36, 43, , 4, 5,28.60,-65
2025/4/17, 47, 30, 38, , 4, 5,24.80,-66
2025/4/18, 49, 19, 35, , 2, 3,21.60,-67
2025/4/19, 26, 29, 50, , 3, 3,22.20,-68
2025/4/20, 40, 22, 40, , 2, 2,21.20,-69
2025/4/21, 29, 29, 37, , 2, 4,20.20,-70
2025/4/22, 41, 27, 40, , 2, 4,22.80,-71
2025/4/23, 42, 27, 39, , 2, 4,22.80,-72
2025/4/24, 36, 23, 28, , 3, 5,19.00,-73
2025/4/25, 46, 19, 34, , 3, 7,21.80,-74
2025/4/26, 59, , 32, , 3, 6,25.00,-75
2025/4/27, 48, , 34, , 2, 4,22.00,-76
2025/4/28, 27, 27, 13, , 3, 6,15.20,-77
2025/4/29, 44, 33, 24, , 4, 9,22.80,-78
2025/4/30, 61, 21, 29, , 2, 5,23.60,-79
2025/5/1, 35, 22, 21, , 2, 6,17.20,-80
2025/1/2, 46, 18, 24, , 4, 1,18.60,-81
2025/1/3, 29, 18, 20, , 4, 2,14.60,-82
2025/1/4, 26, 16, 24, , 4, 1,14.20,-83
2025/1/5, 27, 17, 26, , 4, 2,15.20,-84
2025/1/6, 26, 23, 39, , 6, 5,19.80,-85
2025/1/7, 49, 30, 37, , 6, 4,25.20,-86
2025/1/8, 45, 25, 34, , 5, 4,22.60,-87
2025/1/9, 41, 24, 28, , 6, 4,20.60,-88
2025/1/10, 44, 25, 31, , 5, 3,21.60,-89
2025/1/11, 42, 29, 44, , 6, 3,24.80,-90
2025/1/12, 63, 27, 49, , 7, 3,29.80,-91
2025/1/13, 57, 26, 36, , 5, 4,25.60,-92
2025/1/14, 52, 21, 35, , 5, 2,23.00,-93
2025/1/15, 38, 20, 37, , 5, 2,20.40,-94
2025/1/16, 38, 19, 26, , 4, 1,17.60,-95
2025/1/17, 29, 19, 28, , 5, 3,16.80,-96
2025/1/18, 35, 22, 40, , 5, 3,21.00,-97
2025/1/19, 42, 18, 48, , 5, 1,22.80,-98
2025/1/20, 28, 22, 36, , 5, 3,18.80,-99
2025/1/21, 45, 31, 51, , 8, 4,27.80,-100
2025/1/22, 66, 25, 46, , 5, 2,28.80,-101
2025/1/23, 47, 42, 60, , 7, 6,32.40,-102
2025/1/24, 63, 39, 42, , 12, 5,32.20,-103
2025/1/25, 65, 33, 32, , 6, 5,28.20,-104
2025/1/26, 58, 32, 33, , 6, 3,26.40,-105
2025/1/27, 41, 35, 31, , 5, 4,23.20,-106
2025/1/28, 43, 51, 28, , 7, 4,26.60,-107
2025/1/29, 54, 25, 4, , 5, 2,18.00,-108
2025/1/30, 32, 43, 21, , 4, 2,20.40,-109
2025/2/4, 28, 21, 27, , 4, 2,16.40,-110
2025/2/5, 40, 35, 25, , 5, 2,21.40,-111
2025/2/6, 43, 30, 26, , 5, 3,21.40,-112
2025/2/7, 46, 44, 28, , 4, 3,25.00,-113
2025/2/8, 47, 26, 33, , 4, 2,22.40,-114
2025/2/9, 44, 33, 27, , 4, 1,21.80,-115
2025/2/10, 30, 18, 19, , 4, 2,14.60,-116
2025/2/11, 21, 34, 14, , 5, 4,15.60,-117
2025/2/12, 34, 28, 29, , 6, 3,20.00,-118
2025/2/13, 49, 12, 24, , 4, 2,18.20,-119
2025/2/14, 31, , , , , ,31.00,-120
2025/2/16, 30, 15, 22, , , 2,17.25,-121
2025/2/17, 30, 7, 15, , , 4,14.00,-122
2025/2/18, 37, 18, 12, , 1, 4,14.40,-123
2025/2/19, 34, 21, 28, , 1, 4,17.60,-124
2025/2/20, 41, 28, 22, , 2, 5,19.60,-125
2025/2/21, 36, 26, 33, , 2, 6,20.60,-126
2025/2/22, 63, , , , , ,63.00,-127
2025/2/25, 47, 25, 24, , 2, 4,20.40,-128
2025/2/26, 69, 15, 15, , 2, 4,21.00,-129
2025/2/27, 26, 27, 27, , 2, 6,17.60,-130
2025/2/28, 45, 31, 29, , 2, 7,22.80,-131
2025/3/1, 53, 17, 30, , 1, 1,20.40,-132
2025/3/2, 36, 14, 32, , 1, 2,17.00,-133
2025/3/3, 24, 18, 35, , 1, 3,16.20,-134
2025/3/4, 36, 19, 32, , 1, 1,17.80,-135
2025/3/5, 41, 18, 23, , 2, 2,17.20,-136
2025/3/6, 35, 16, 20, , 2, 4,15.40,-137
2025/3/7, 40, 21, 29, , 2, 5,19.40,-138
2025/3/8, 48, 21, 34, , 1, 3,21.40,-139
2025/3/9, 44, 14, 27, , 1, 3,17.80,-140
2025/3/10, 32, 18, 29, , 2, 4,17.00,-141
2025/3/11, 43, , 19, , 2, 5,17.25,-142
2025/3/12, 51, , 37, , 2, 5,23.75,-143
2025/3/13, 59, , 20, , 2, 4,21.25,-144
2025/3/14, 50, , 23, , 2, 4,19.75,-145
2025/3/15, 51, , 35, , 2, 3,22.75,-146
2025/3/16, 46, , 41, , 2, 1,22.50,-147
2025/3/17, 49, , 28, , 2, 5,21.00,-148
2025/3/18, 36, , 27, , 2, 4,17.25,-149
2025/3/19, 54, , 41, , 2, 6,25.75,-150
2025/3/20, 57, , 14, , 1, 8,20.00,-151
2025/3/21, 52, , 29, , 2, 6,22.25,-152
2025/3/22, 59, , 25, , 2, 3,22.25,-153
2025/3/23, 44, , 39, , 2, 2,21.75,-154
2025/3/24, 33, , 36, , 2, 4,18.75,-155
2025/3/25, 51, 44, 36, , 3, 4,27.60,-156
2025/3/26, 58, 39, 28, , 2, 3,26.00,-157
2025/3/27, 44, 20, 22, , 2, 4,18.40,-158
2025/3/28, 43, 22, 25, , 2, 5,19.40,-159
2025/3/29, 48, 19, 34, , 2, 5,21.60,-160
2025/3/30, 47, 17, 26, , 1, 4,19.00,-161
2025/3/31, 26, 20, 17, , 2, 4,13.80,-162
2025/4/1, 30, 28, 34, , 3, 6,20.20,-163
2024/10/2, 60, 35, 47, , 4, 4,30.00,-164
2024/10/3, 63, 31, 56, , 5, 4,31.80,-165
2024/10/4, 59, 31, 52, , 6, 3,30.20,-166
2024/10/5, 66, 29, 61, , 4, 2,32.40,-167
2024/10/6, 51, 6, 23, , 2, 1,16.60,-168
2024/10/7, 19, 23, 61, , 4, 2,21.80,-169
2024/10/8, 51, 20, 44, , 3, 3,24.20,-170
2024/10/9, 45, 24, 54, , 6, 3,26.40,-171
2024/10/10, 56, 15, 32, , 4, 4,22.20,-172
2024/10/11, 48, , 39, , 5, 3,23.75,-173
2024/10/12, 49, , 54, , 5, 1,27.25,-174
2024/10/13, 39, , 47, , 3, 1,22.50,-175
2024/10/14, 29, , 51, , 3, 2,21.25,-176
2024/10/15, 32, 36, 79, , 3, 4,30.80,-177
2024/10/16, 43, 49, 69, , 5, 4,34.00,-178
2024/10/17, 68, 45, 84, , 6, 3,41.20,-179
2024/10/18, 65, 77, 73, , 6, 4,45.00,-180
2024/10/19, 70, 50, 56, , 6, 5,37.40,-181
2024/10/20, 73, 39, 59, , 3, 3,35.40,-182
2024/10/21, 64, 41, 62, , 3, 4,34.80,-183
2024/10/22, 69, 45, 62, , 4, 4,36.80,-184
2024/10/23, 70, 38, 27, , 3, 3,28.20,-185
2024/10/24, 58, 45, 47, , 6, 5,32.20,-186
2024/10/25, 74, 46, 53, , 4, 4,36.20,-187
2024/10/26, 64, 38, 58, , 5, 3,33.60,-188
2024/10/27, 56, 38, 42, , 4, 4,28.80,-189
2024/10/28, 65, 30, 32, , 4, 5,27.20,-190
2024/10/29, 54, 43, 40, , 8, 7,30.40,-191
2024/10/30, 64, 42, 37, , 4, 7,30.80,-192
2024/10/31, 62, 25, 40, , 4, 6,27.40,-193
2024/11/1, 57, 27, 38, , 3, 4,25.80,-194
2024/11/2, 45, 24, 38, , 3, 3,22.60,-195
2024/11/3, 41, 29, 27, , 5, 4,21.20,-196
2024/11/4, 43, 26, 31, , 4, 5,21.80,-197
2024/11/5, 45, 36, 47, , 4, 6,27.60,-198
2024/11/6, 44, 44, 59, , 4, 6,31.40,-199
2024/11/7, 61, 48, 48, , 5, 8,34.00,-200
2024/11/8, 80, 49, 47, , 6, 6,37.60,-201
2024/11/9, 76, 42, 53, , 5, 6,36.40,-202
2024/11/10, 70, 42, 18, , 5, 8,28.60,-203
2024/11/11, 64, 53, 21, , 4, 8,30.00,-204
2024/11/12, 89, 60, 55, , 6, 5,43.00,-205
2024/11/13, 108, 45, 42, , 6, 4,41.00,-206
2024/11/14, 97, 49, 43, , 6, 5,40.00,-207
2024/11/15, 96, 58, 49, , 5, 6,42.80,-208
2024/11/16, 96, 44, 39, , 5, 3,37.40,-209
2024/11/17, 78, 27, 34, , 3, 2,28.80,-210
2024/11/18, 39, 14, 30, , 3, 3,17.80,-211
2024/11/19, 62, 26, 35, , 4, 3,26.00,-212
2024/11/20, 68, 41, 38, , 5, 4,31.20,-213
2024/11/21, 61, 26, 24, , 3, 3,23.40,-214
2024/11/22, 46, 25, 35, , 6, 4,23.20,-215
2024/11/23, 64, 41, 42, , 5, 4,31.20,-216
2024/11/24, 70, 26, 41, , 4, 4,29.00,-217
2024/11/25, 59, 33, 40, , 4, 5,28.20,-218
2024/11/26, 61, 29, 43, , 5, 5,28.60,-219
2024/11/27, 62, 28, 37, , 5, 4,27.20,-220
2024/11/28, 58, 26, 36, , 5, 4,25.80,-221
2024/11/29, 63, 32, 31, , 6, 6,27.60,-222
2024/11/30, 66, , 45, , 5, 4,30.00,-223
2024/12/1, 42, , 59, , 5, 5,27.75,-224
2024/12/2, 44, 58, 31, , 3, 3,27.80,-225
2024/12/3, 52, 45, 44, , 3, 3,29.40,-226
2024/12/4, 49, 32, 32, , 3, 4,24.00,-227
2024/12/5, 30, 26, 46, , 3, 4,21.80,-228
2024/12/6, 38, 26, 46, , 4, 4,23.60,-229
2024/12/7, 45, 24, 40, , 4, 5,23.60,-230
2024/12/8, 49, 22, 46, , 3, 3,24.60,-231
2024/12/9, 28, 28, 39, , 5, 5,21.00,-232
2024/12/10, 54, 18, 37, , 4, 4,23.40,-233
2024/12/11, 46, 16, 34, , 3, 2,20.20,-234
2024/12/12, 34, 24, 34, , 4, 3,19.80,-235
2024/12/13, 42, 15, 22, , 4, 3,17.20,-236
2024/12/14, 31, 20, 27, , 4, 3,17.00,-237
2024/12/15, 42, 9, 34, , 3, 1,17.80,-238
2024/12/16, 29, 19, 38, , 5, 3,18.80,-239
2024/12/17, 51, 31, 36, , 5, 3,25.20,-240
2024/12/18, 56, 34, 35, , 5, 5,27.00,-241
2024/12/19, 50, 29, 34, , 5, 4,24.40,-242
2024/12/20, 51, 28, 33, , 4, 2,23.60,-243
2024/12/21, 46, 32, 38, , 5, 2,24.60,-244
2024/12/22, 31, 25, 37, , 3, 1,19.40,-245
2024/12/23, 32, 23, 30, , 4, 3,18.40,-246
2024/12/24, 41, 24, 25, , 4, 4,19.60,-247
2024/12/25, 47, 31, 38, , 4, 1,24.20,-248
2024/12/26, 47, 17, 32, , 4, 1,20.20,-249
2024/12/27, 33, 18, 31, , 4, 3,17.80,-250
2024/12/28, 44, 16, 22, , 3, 1,17.20,-251
2024/12/29, 26, 11, 28, , 3, 1,13.80,-252
2024/12/30, 31, , , , , ,31.00,-253
2024/7/2, 50, 30, 33, , 2, 4,23.80,-254
2024/7/3, 44, 25, 37, , 3, 2,22.20,-255
2024/7/4, 47, 26, 34, , 2, 1,22.00,-256
2024/7/5, 40, 23, 32, , 2, 3,20.00,-257
2024/7/6, 42, 29, 34, , 2, 4,22.20,-258
2024/7/7, 43, 19, 40, , 2, 2,21.20,-259
2024/7/8, 31, 28, 51, , 2, 2,22.80,-260
2024/7/9, 35, 37, 43, , 3, 4,24.40,-261
2024/7/10, 49, 36, 44, , 4, 3,27.20,-262
2024/7/11, 38, 33, 51, , 4, 4,26.00,-263
2024/7/12, 54, 41, 47, , 4, 2,29.60,-264
2024/7/13, 45, 24, 43, , 2, 2,23.20,-265
2024/7/14, 26, 19, 45, , 1, 1,18.40,-266
2024/7/15, 22, 35, 50, , 2, 2,22.20,-267
2024/7/16, 28, 42, 68, , 3, 3,28.80,-268
