date, pm25, pm10, o3, so2, co,ICA,nDia
2025/6/2, 22, , 26, 1, 10,14.75,0
2025/6/3, 30, , 32, 1, 10,18.25,-1
2025/6/4, 28, , 30, , 3,20.33,-2
2025/6/5, 29, , 36, , 3,22.67,-3
2025/6/6, 26, , 20, 2, 5,13.25,-4
2025/6/7, 40, , 29, 2, 4,18.75,-5
2025/6/8, 30, , 29, 1, 2,15.50,-6
2025/6/9, 32, , 26, 1, 2,15.25,-7
2025/6/10, 36, , 34, 1, 4,18.75,-8
2025/6/11, 32, , 44, 2, 4,20.50,-9
2025/6/12, 32, , 33, 1, 4,17.50,-10
2025/6/13, 20, , 33, 1, 5,14.75,-11
2025/6/14, 21, , 31, 1, 5,14.50,-12
2025/6/15, 25, , 34, 2, 5,16.50,-13
2025/6/16, 27, , 36, 1, 6,17.50,-14
2025/6/17, 20, , 28, 1, 8,14.25,-15
2025/6/18, 34, , 42, 2, 8,21.50,-16
2025/6/19, 20, , 30, 2, 9,15.25,-17
2025/6/20, 20, , 32, 3, 11,16.50,-18
2025/6/21, 25, , , , ,25.00,-19
2025/5/2, 24, , 42, 1, 5,18.00,-20
2025/5/3, 33, , 39, 1, 105,44.50,-21
2025/5/4, 31, , 41, 2, 500,143.50,-22
2025/5/5, 29, , 24, 1, 129,45.75,-23
2025/5/6, 29, , 31, 6, 4,17.50,-24
2025/5/7, 41, , 46, 1, 3,22.75,-25
2025/5/8, 33, , 22, 2, 6,15.75,-26
2025/5/9, 49, , 40, 2, 8,24.75,-27
2025/5/10, 45, , 28, 2, 8,20.75,-28
2025/5/11, 33, , 27, 1, 7,17.00,-29
2025/5/12, 18, , 29, 1, 6,13.50,-30
2025/5/13, 24, , 27, 3, 7,15.25,-31
2025/5/14, 33, , 40, , 9,27.33,-32
2025/5/15, 30, , 28, , 10,22.67,-33
2025/5/16, 21, , 25, , 6,17.33,-34
2025/5/17, 22, , 31, , 4,19.00,-35
2025/5/18, 17, , 39, , 3,19.67,-36
2025/5/19, 27, , 23, 2, 6,14.50,-37
2025/5/20, 34, , 37, 3, 3,19.25,-38
2025/5/21, 38, , 33, 2, 6,19.75,-39
2025/5/22, 34, , 24, 1, 6,16.25,-40
2025/5/23, 36, , 27, 1, 7,17.75,-41
2025/5/24, 32, , 28, 1, 7,17.00,-42
2025/5/25, 31, , 30, 1, 7,17.25,-43
2025/5/26, 24, , 31, , 7,20.67,-44
2025/5/27, 17, , 39, , 6,20.67,-45
2025/5/28, 26, , 24, 2, 6,14.50,-46
2025/5/29, 39, , 27, 2, 7,18.75,-47
2025/5/30, 34, , 33, 2, 7,19.00,-48
2025/5/31, 32, , 34, , 5,23.67,-49
2025/6/1, 23, , 31, 1, 8,15.75,-50
